Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,8/09/2006 21:34,,,,RUR - Наличные,"-1,976.00","5,900.71",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,8/09/2006 21:34,,,,RUR - Наличные,-899,"5,001.71",,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,8/09/2006 21:34,,,,RUR - Наличные,-40,"4,961.71",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,8/09/2006 21:38,,,,RUR - Наличные,-12,"4,949.71",перекись,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
+,9/09/2006 11:25,,,,RUR - Наличные,-190,"4,759.71",рынок,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,9/09/2006 11:26,,,,RUR - Наличные,"-1,026.00","3,733.71",ашан,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,10/09/2006 22:46,,,,RUR - Наличные,-40,"3,693.71",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,10/09/2006 22:47,,,,RUR - Наличные,-180,"3,513.71",колготки,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,10/09/2006 22:47,,,,RUR - Наличные,-29,"3,484.71",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,10/09/2006 22:47,,,,RUR - Наличные,-30,"3,454.71",,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,
+,10/09/2006 22:48,,,,RUR - Наличные,-148,"3,306.71",,\Все статьи расхода\Связь\телефон - ip,\Все платёжные агенты\Света,
+,11/09/2006 11:57,RUR - CitiBank Card,"5,872.00","64,834.15",,,,,,\Все платёжные агенты\Света,
+,11/09/2006 22:48,,,,RUR - Наличные,-77.5,"3,229.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,11/09/2006 22:50,,,,RUR - Наличные,-15,"3,214.21",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,11/09/2006 22:50,,,,RUR - Наличные,-80,"3,134.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,11/09/2006 22:54,,,,RUR - Наличные,-65,"3,069.21",,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
+,12/09/2006 22:45,,,,RUR - Наличные,-83,"2,986.21",,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Света,
+,12/09/2006 22:45,,,,RUR - Наличные,-170,"2,816.21",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,12/09/2006 22:46,,,,RUR - Наличные,-113,"2,703.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,12/09/2006 22:47,,,,RUR - Наличные,-130,"2,573.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,12/09/2006 22:47,,,,RUR - Наличные,-500,"2,073.21",владимир Суздаль,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,13/09/2006 11:35,,,,RUR - Наличные,-200,"1,873.21",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,13/09/2006 11:39,,,,RUR - Наличные,-60,"1,813.21",,\Все статьи расхода\Продукты\Питание дом\пиво,\Все платёжные агенты\Вадим,
+,13/09/2006 11:40,,,,RUR - Наличные,-130,"1,683.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,13/09/2006 11:41,,,,RUR - Наличные,-200,"1,483.21",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,13/09/2006 11:47,,,,RUR - Наличные,-93.3,"1,389.91",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,14/09/2006 11:36,,,,RUR - Наличные,-121,"1,268.91",,\Все статьи расхода\Здоровье,\Все платёжные агенты\Вадим,
+,14/09/2006 11:40,,,,RUR - Наличные,-80,"1,188.91",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,14/09/2006 11:42,RUR - Наличные,"10,000.00","11,188.91",RUR - CitiBank Card,"-10,000.00","54,834.15",,,,
+,14/09/2006 11:48,,,,RUR - Наличные,-75.7,"11,113.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,14/09/2006 11:49,,,,RUR - Наличные,-83,"11,030.21",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,14/09/2006 11:49,,,,RUR - Наличные,"-2,163.00","8,867.21",оргвзнос,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,\Все проекты\Aспирантура
+,15/09/2006 11:41,,,,RUR - Наличные,-100,"8,767.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,15/09/2006 11:41,,,,RUR - Наличные,-150,"8,617.21",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,15/09/2006 11:42,RUR - Наличные,"10,000.00","18,617.21",,,,подарок,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,\Все проекты
+,15/09/2006 11:48,,,,RUR - Наличные,-99.1,"18,518.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,16/09/2006 11:51,,,,RUR - Наличные,-34,"18,484.11",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,16/09/2006 11:54,,,,RUR - Наличные,-55,"18,429.11",мешок для стирки,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,16/09/2006 17:28,,,,RUR - Наличные,-80,"18,349.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,16/09/2006 23:09,,,,RUR - Наличные,-150,"18,199.11",розы,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,16/09/2006 23:10,,,,RUR - Наличные,-150,"18,049.11",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,16/09/2006 23:10,,,,RUR - Наличные,-70,"17,979.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,17/09/2006 17:31,,,,RUR - Наличные,"-2,760.00","15,219.11",,\Все статьи расхода\Техника\Бытовая техника,\Все платёжные агенты\Света,
+,18/09/2006 17:13,,,,RUR - Наличные,-102,"15,117.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,18/09/2006 17:17,,,,RUR - Наличные,-80,"15,037.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,18/09/2006 17:38,,,,RUR - Наличные,-30,"15,007.11",,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,19/09/2006 17:14,,,,RUR - Наличные,-55,"14,952.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,19/09/2006 17:15,,,,RUR - Наличные,"-3,000.00","11,952.11",залог,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,19/09/2006 17:15,,,,RUR - Наличные,"-3,061.00","8,891.11",ашан,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,19/09/2006 17:17,,,,RUR - Наличные,-120,"8,771.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,20/09/2006 10:17,,,,RUR - Наличные,-150,"8,621.11",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,20/09/2006 17:14,,,,RUR - Наличные,-240,"8,381.11",пицца,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,20/09/2006 17:16,,,,RUR - Наличные,-150,"8,231.11",мойка,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,20/09/2006 17:16,,,,RUR - Наличные,-100,"8,131.11",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,20/09/2006 17:19,,,,RUR - Наличные,-933,"7,198.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,20/09/2006 17:40,,,,RUR - Наличные,-160,"7,038.11",лампочки,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,20/09/2006 17:41,RUR - Наличные,"60,000.00","67,038.11",,,,подарок,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Света,
+,21/09/2006 10:19,,,,RUR - Наличные,-900,"66,138.11",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,21/09/2006 10:21,RUR - Наличные,"10,000.00","76,138.11",,,,Ирена,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Света,
+,21/09/2006 10:25,,,,RUR - Наличные,-25,"76,113.11",,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,22/09/2006 10:20,,,,RUR - Наличные,"-4,500.00","71,613.11",джонни,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,22/09/2006 10:21,,,,RUR - Наличные,-125,"71,488.11",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,22/09/2006 10:21,,,,RUR - Наличные,-650,"70,838.11",,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,22/09/2006 10:22,,,,RUR - Наличные,-250,"70,588.11",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,22/09/2006 10:22,,,,RUR - Наличные,-280,"70,308.11",макс,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,23/09/2006 10:23,,,,RUR - Наличные,-450,"69,858.11",головоломки,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,23/09/2006 10:24,,,,RUR - Наличные,-200,"69,658.11",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,24/09/2006 10:24,,,,RUR - Наличные,-600,"69,058.11",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,24/09/2006 10:25,,,,RUR - Наличные,-45,"69,013.11",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,24/09/2006 10:26,RUR - Наличные,"1,500.00","70,513.11",,,,наташа,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,24/09/2006 10:33,,,,RUR - Наличные,-200,"70,313.11",,,\Все платёжные агенты\Вадим,
+,24/09/2006 20:14,,,,RUR - Наличные,-150,"70,163.11",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,24/09/2006 20:14,,,,RUR - Наличные,"-2,190.00","67,973.11",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,24/09/2006 20:14,,,,RUR - Наличные,"-2,190.00","65,783.11",,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,24/09/2006 20:15,,,,RUR - Наличные,-375,"65,408.11",,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,24/09/2006 20:15,,,,RUR - Наличные,"-2,088.00","63,320.11",ашан,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,25/09/2006 22:11,RUR - Наличные,"15,500.00","78,820.11",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,25/09/2006 22:11,,,,RUR - Наличные,-150,"78,670.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,25/09/2006 22:12,,,,RUR - Наличные,-105,"78,565.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,25/09/2006 22:12,,,,RUR - Наличные,-130,"78,435.11",книга,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Света,
+,25/09/2006 22:16,RUR - CitiBank Card,"38,722.57","93,556.72",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,25/09/2006 22:17,,,,RUR - CitiBank Card,-60,"93,496.72",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,25/09/2006 22:20,,,,RUR - Наличные,-20,"78,415.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,25/09/2006 22:21,,,,RUR - Наличные,-60,"78,355.11",лампочки,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,26/09/2006 19:43,,,,RUR - Наличные,-90,"78,265.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,26/09/2006 19:43,,,,RUR - Наличные,-685,"77,580.11",книги,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,26/09/2006 21:00,,,,RUR - Наличные,-120,"77,460.11",,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,27/09/2006 21:30,,,,RUR - Наличные,-80,"77,380.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,27/09/2006 21:30,,,,RUR - Наличные,-200,"77,180.11",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,27/09/2006 21:30,,,,RUR - Наличные,-120,"77,060.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,27/09/2006 21:30,,,,RUR - Наличные,-125,"76,935.11",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,27/09/2006 21:30,,,,RUR - Наличные,-47,"76,888.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,28/09/2006 22:13,,,,RUR - Наличные,-90,"76,798.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,28/09/2006 22:14,,,,RUR - Наличные,-103,"76,695.11",,\Все статьи расхода\Продукты\Питание дом\пиво,\Все платёжные агенты\Вадим,
+,28/09/2006 22:14,,,,RUR - Наличные,-150,"76,545.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,29/09/2006 23:34,,,,RUR - Наличные,-140,"76,405.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,29/09/2006 23:41,,,,RUR - Наличные,-124,"76,281.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,30/09/2006 12:47,,,,RUR - Наличные,-30,"76,251.11",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,30/09/2006 12:47,,,,RUR - Наличные,-200,"76,051.11",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Света,
+,30/09/2006 12:47,,,,RUR - Наличные,-174,"75,877.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,1/10/2006 20:18,RUR - Наличные,"45,000.00","120,877.11",RUR - CitiBank Card,"-45,000.00","48,496.72",,,,
+,1/10/2006 20:19,,,,RUR - Наличные,"-14,000.00","106,877.11",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты\Вадим,
+,1/10/2006 20:20,,,,RUR - Наличные,-620,"106,257.11",перчатки,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,1/10/2006 20:21,RUR - Сбербанк Gold,"100,000.00","100,000.00",RUR - Наличные,"-100,000.00","6,257.11",,,,
+,1/10/2006 20:23,,,,RUR - CitiBank Card,-60,"48,436.72",,\Все статьи расхода\%,,
+,1/10/2006 20:24,RUR - Внешторгбанк,500,500,RUR - Наличные,-500,"5,757.11",,,,
+,1/10/2006 20:25,,,,RUR - Наличные,-630,"5,127.11",перчатки,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,1/10/2006 20:25,,,,RUR - Наличные,-880.29,"4,246.82",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,1/10/2006 21:07,,,,RUR - Наличные,"-2,923.80","1,323.02",,,,
+,1/10/2006 21:07,,,,RUR - Наличные,-200,"1,123.02",,\Все статьи расхода\Транспорт\Авто,,
+,1/10/2006 21:08,,,,RUR - Наличные,-951,172.02,,\Все статьи расхода\Продукты,\Все платёжные агенты\Света,
+,1/10/2006 21:46,,,,RUR - Внешторгбанк,-145,355,,\Все статьи расхода\%,\Все платёжные агенты\Вадим,\Все проекты
+,2/10/2006 19:19,,,,RUR - Наличные,-130,42.02,,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,2/10/2006 19:20,RUR - Наличные,"8,000.00","8,042.02",RUR - CitiBank Card,"-8,000.00","40,436.72",,,,
+,2/10/2006 19:20,RUR - Наличные,"4,780.00","12,822.02",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,2/10/2006 19:22,,,,RUR - Наличные,-170,"12,652.02",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,2/10/2006 21:41,,,,RUR - Наличные,"-2,250.00","10,402.02",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,2/10/2006 21:42,RUR - Внешторгбанк,"2,000.00","2,355.00",RUR - Наличные,"-2,000.00","8,402.02",,,,
+,2/10/2006 21:42,,,,RUR - Наличные,-300,"8,102.02",,\Все статьи расхода\Связь\телефон - ip,\Все платёжные агенты\Света,
+,2/10/2006 21:44,,,,RUR - Наличные,"-1,500.00","6,602.02",,\Все статьи расхода\Связь\Интернет,\Все платёжные агенты\Вадим,
+,2/10/2006 21:44,,,,RUR - Наличные,-33,"6,569.02",,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,2/10/2006 21:45,,,,RUR - Внешторгбанк,-83.3,"2,271.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,3/10/2006 22:38,,,,RUR - Наличные,-80,"6,489.02",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,3/10/2006 22:38,,,,RUR - Наличные,"-1,237.80","5,251.22",,\Все статьи расхода\Дом,\Все платёжные агенты\Света,
+,3/10/2006 23:01,,,,RUR - Наличные,-100,"5,151.22",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,3/10/2006 23:02,,,,RUR - Наличные,-125,"5,026.22",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,4/10/2006 22:32,,,,RUR - Наличные,-80,"4,946.22",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,4/10/2006 22:32,,,,RUR - Наличные,-50,"4,896.22",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,4/10/2006 22:32,,,,RUR - Наличные,-125,"4,771.22",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,5/10/2006 20:51,,,,RUR - Наличные,-150,"4,621.22",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,5/10/2006 20:52,,,,RUR - Наличные,-500,"4,121.22",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,5/10/2006 22:08,,,,RUR - Наличные,-90,"4,031.22",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,5/10/2006 22:09,,,,RUR - Наличные,-27.6,"4,003.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,5/10/2006 22:11,,,,RUR - Наличные,-20,"3,983.62",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,6/10/2006 10:56,,,,RUR - Наличные,-111,"3,872.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,6/10/2006 10:57,,,,RUR - Наличные,-15,"3,857.62",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,6/10/2006 10:57,,,,RUR - Наличные,-34,"3,823.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,6/10/2006 11:02,,,,RUR - Наличные,-132,"3,691.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,6/10/2006 19:36,,,,RUR - Наличные,-237,"3,454.62",,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,6/10/2006 19:37,,,,RUR - Наличные,-80,"3,374.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,7/10/2006 13:49,,,,RUR - Наличные,-100,"3,274.62",носки,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,7/10/2006 13:49,,,,RUR - Наличные,-289,"2,985.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,7/10/2006 13:54,,,,RUR - Наличные,-500,"2,485.62",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,7/10/2006 21:27,,,,RUR - Наличные,-130,"2,355.62",,\Все статьи расхода\Продукты\Питание дом\пиво,\Все платёжные агенты\Вадим,
+,8/10/2006 21:21,RUR - Наличные,"15,000.00","17,355.62",RUR - CitiBank Card,"-15,000.00","25,436.72",,,,
+,8/10/2006 21:21,,,,RUR - Наличные,-744,"16,611.62",,\Все статьи расхода\Дом,\Все платёжные агенты\Вадим,
+,10/10/2006 20:17,RUR - CitiBank Card,"11,341.00","36,777.72",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Света,
+,12/10/2006 20:02,RUR - Наличные,"15,000.00","31,611.62",RUR - CitiBank Card,"-15,000.00","21,777.72",,,,
+,18/10/2006 20:04,,,,RUR - Наличные,"-2,000.00","29,611.62",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,18/10/2006 20:05,,,,RUR - Наличные,"-10,000.00","19,611.62",дубленки,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,18/10/2006 20:07,,,,RUR - Наличные,"-4,000.00","15,611.62",ремонт,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,18/10/2006 20:10,,,,RUR - Наличные,"-5,000.00","10,611.62",проставы,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,18/10/2006 20:13,,,,RUR - Наличные,"-1,500.00","9,111.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,19/10/2006 19:18,,,,RUR - Внешторгбанк,-200,"2,071.70",,,\Все платёжные агенты\Вадим,
+,19/10/2006 20:01,,,,RUR - Наличные,"-5,120.00","3,991.62",Курск,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,20/10/2006 0:07,,,,RUR - Наличные,"-1,340.00","2,651.62",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,21/10/2006 0:03,RUR - Наличные,"5,000.00","7,651.62",RUR - CitiBank Card,"-5,000.00","16,777.72",,,,
+,21/10/2006 0:04,,,,RUR - Наличные,"-1,673.00","5,978.62",ашан,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,21/10/2006 0:04,,,,RUR - Наличные,-80,"5,898.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,22/10/2006 0:05,,,,RUR - Наличные,-243,"5,655.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,22/10/2006 0:05,,,,RUR - Наличные,-220,"5,435.62",,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,22/10/2006 0:06,,,,RUR - Наличные,-460,"4,975.62",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,23/10/2006 20:28,,,,RUR - Наличные,-370,"4,605.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,23/10/2006 20:28,,,,RUR - Наличные,-820,"3,785.62",картриджи,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,23/10/2006 21:09,RUR - Наличные,"16,000.00","19,785.62",RUR - CitiBank Card,"-16,000.00",777.72,,,,
+,23/10/2006 21:10,,,,RUR - Наличные,-100,"19,685.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,23/10/2006 21:18,,,,RUR - Наличные,-30,"19,655.62",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,23/10/2006 21:20,,,,RUR - Наличные,-200,"19,455.62",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,24/10/2006 20:32,,,,RUR - Наличные,-55,"19,400.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,24/10/2006 20:33,,,,RUR - Наличные,-74,"19,326.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,24/10/2006 20:35,,,,RUR - Наличные,-400,"18,926.62",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,25/10/2006 22:14,,,,RUR - Наличные,-80,"18,846.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,25/10/2006 22:14,,,,RUR - Наличные,-106,"18,740.62",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Света,
+,25/10/2006 22:15,,,,RUR - Наличные,-100,"18,640.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,25/10/2006 22:15,,,,RUR - Наличные,-255,"18,385.62",,\Все статьи расхода\Продукты\Питание дом\пиво,\Все платёжные агенты\Света,
+,25/10/2006 22:16,,,,RUR - Наличные,-60,"18,325.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,25/10/2006 22:16,,,,RUR - Наличные,"-2,000.00","16,325.62",подарок Лиле,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,25/10/2006 22:16,RUR - CitiBank Card,"33,405.00","34,182.72",,,,,,\Все платёжные агенты\Света,
+,25/10/2006 22:17,RUR - Наличные,"15,000.00","31,325.62",RUR - CitiBank Card,"-15,000.00","19,182.72",,,,
+,26/10/2006 22:09,,,,RUR - Наличные,-130,"31,195.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,26/10/2006 22:09,,,,RUR - Наличные,-137,"31,058.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,26/10/2006 22:10,,,,RUR - Наличные,-80,"30,978.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,26/10/2006 22:10,RUR - Наличные,"15,500.00","46,478.62",,,,,,\Все платёжные агенты\Вадим,
+,26/10/2006 22:11,RUR - Наличные,"9,000.00","55,478.62",RUR - CitiBank Card,"-9,000.00","10,182.72",,,,
+,28/10/2006 12:41,,,,RUR - Наличные,-130,"55,348.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,28/10/2006 12:41,,,,RUR - Наличные,-150,"55,198.62",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,28/10/2006 12:41,,,,RUR - Наличные,-25,"55,173.62",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,28/10/2006 21:15,,,,RUR - Наличные,"-14,020.00","41,153.62",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты\Вадим,
+,28/10/2006 21:15,RUR - Внешторгбанк,"8,000.00","10,071.70",RUR - Наличные,"-8,000.00","33,153.62",,,,
+,28/10/2006 21:16,,,,RUR - Наличные,-837,"32,316.62",ашан,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,28/10/2006 21:18,,,,RUR - Наличные,-120,"32,196.62",,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,28/10/2006 21:52,,,,RUR - Внешторгбанк,-16,"10,055.70",,\Все статьи расхода\%,\Все платёжные агенты,
+,29/10/2006 20:21,,,,RUR - Наличные,-170,"32,026.62",ремонт,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
